Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
1,"Total, all countries or areas",2005,104.936,99.9214,62.069100000000006,65.7318,24.84,23.7177,678991.61,509245.76,139950.87999999998
1,"Total, all countries or areas",2010,105.84060000000001,102.96780000000001,69.8178,72.3451,30.4946,28.393,697048.8300000001,546102.43,182209.18
1,"Total, all countries or areas",2014,103.15129999999999,102.8368,75.821,76.8073,37.52890000000001,33.706300000000006,715016.66,580925.09,212931.47999999998
1,"Total, all countries or areas",2015,102.74140000000001,102.6242,75.9324,76.9851,38.7492,34.7216,720228.4500000001,583315.56,217458.97999999998
1,"Total, all countries or areas",2017,103.74170000000001,104.4958,76.1996,76.9813,40.162200000000006,35.743300000000005,746284.92,590725.24,220704.24000000002
4,Afghanistan,2004,149.6565,65.002,6.142099999999999,29.417,0.5213,1.8601,4430.14,594.3059999999999,27.648
4,Afghanistan,2005,126.94440000000002,74.5307,9.3116,28.633100000000002,0,0,4318.820000000001,651.453,0
4,Afghanistan,2009,118.4504,78.74410000000002,29.386499999999998,60.992200000000004,1.4251999999999998,6.0536,4945.63,1716.1899999999998,95.18499999999999
4,Afghanistan,2010,120.5552,82.7089,34.29600000000001,68.64710000000001,0,0,5279.33,2044.1599999999999,0
4,Afghanistan,2014,125.67079999999999,88.0897,38.56570000000001,68.5591,3.5854,13.0284,6217.76,2602.73,262.874
4,Afghanistan,2015,126.2261,87.24090000000001,38.566100000000006,68.412,0,0,6333.7,2698.82,0
4,Afghanistan,2017,122.74690000000001,84.1501,39.6317,69.1179,0,0,6358.78,2907.8,0
4,Afghanistan,2018,0,0,0,0,0,14.5808,0,0,370.61
8,Albania,2005,101.58160000000001,100.57079999999999,76.3579,80.17879999999998,27.245599999999996,19.1252,237.975,407.40299999999996,63.257
8,Albania,2010,94.6319,92.9729,88.1385,89.06269999999999,51.6,38.566300000000005,224.781,355.871,122.326
8,Albania,2014,108.563,106.6985,92.5069,99.9304,86.2626,56.724900000000005,195.72,333.29099999999994,173.819
8,Albania,2015,111.1933,108.1993,92.036,99.29190000000001,81.65209999999999,53.3497,188.371,315.079,160.52700000000002
8,Albania,2017,111.5243,108.60329999999999,93.09320000000001,98.98790000000001,70.8026,44.4004,174.836,280.378,139.607
9,Oceania,2005,91.6886,89.6841,109.45750000000001,112.7506,72.3974,58.42810000000001,3141.61,3575.04,1642.73
9,Oceania,2010,100.41920000000002,97.4064,108.1662,115.90960000000001,84.53450000000001,62.460300000000004,3556.16,3776.48,2013.95
9,Oceania,2014,107.8762,104.399,105.6132,117.93,89.6015,63.3922,4080.53,3888.7,2172
9,Oceania,2015,106.09360000000001,102.99420000000002,105.1874,118.6908,91.60529999999999,64.24480000000001,4100.58,3913.4100000000003,2206.8300000000004
9,Oceania,2017,106.0917,103.13629999999999,103.30569999999999,117.10869999999998,92.6437,65.3635,4259.03,3947,2223.44
12,Algeria,2005,111.81400000000001,103.3606,82.3848,75.21710000000002,23.334800000000005,18.249499999999998,4361.74,3654.23,792.121
12,Algeria,2010,118.90320000000001,111.394,98.7128,95.3352,35.276300000000006,24.4358,3312.44,4616.23,1144.27
12,Algeria,2011,120.1272,112.64269999999999,101.54950000000001,97.8325,36.963300000000004,25.469499999999996,3363.24,4572.51,1188.56
12,Algeria,2014,121.3008,115.2579,0,0,41.861599999999996,27.362399999999997,3765.3100000000004,0,1245.48
12,Algeria,2015,118.5359,112.7868,0,0,45.0758,28.8295,3925.4300000000003,0,1289.47
12,Algeria,2017,114.49660000000002,108.7837,0,0,57.3124,38.4862,4283.21,0,1545.52
15,Northern Africa,2005,97.5028,90.34740000000001,67.7743,68.742,22.969199999999997,23.831200000000003,23022.99,16908.91,4585.89
